Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
1,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
2,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
3,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
4,JALISCO,GUADALAJARA,EL SALTO,HABITACIONAL,Hipoteca,2017
5,JALISCO,GUADALAJARA,GUADALAJARA,COMERCIAL,Hipoteca,2017
6,JALISCO,GUADALAJARA,ZAPOPAN,NO CONSTA,Hipoteca,2017
7,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
8,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
9,JALISCO,GUADALAJARA,TLAQUEPAQUE,NO CONSTA,Hipoteca,2017
10,JALISCO,GUADALAJARA,GUADALAJARA,NO CONSTA,Hipoteca,2017
11,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
12,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
13,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
14,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
15,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
16,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
17,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
18,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
19,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
20,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
21,JALISCO,GUADALAJARA,GUACHINANGO,HABITACIONAL,Hipoteca,2017
22,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
23,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
24,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
25,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
26,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
27,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
28,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
29,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
30,JALISCO,GUADALAJARA,TONALA,URBANO,Hipoteca,2017
31,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
32,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
33,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
34,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
35,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
36,JALISCO,GUADALAJARA,TONALA,URBANO,Hipoteca,2017
37,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
38,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
39,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
40,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
41,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
42,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
43,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
44,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
45,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
46,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
47,JALISCO,GUADALAJARA,TLAQUEPAQUE,URBANO,Hipoteca,2017
48,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
49,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
50,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
51,JALISCO,GUADALAJARA,ZAPOPAN,  HABITACIONAL,Hipoteca,2017
52,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
53,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
54,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
55,JALISCO,GUADALAJARA,ZAPOPAN,RUSTICO,Hipoteca,2017
56,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
57,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
58,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
59,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
60,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
61,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
62,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
63,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
64,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
65,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
